# Test graph W1, Connections
#
"C",  1, 1, 2,  7, 1, 5
"C",  2, 2, 1,  7, 0, 5
"C",  3, 1, 3,  9, 3, 5
"C",  4, 3, 1,  9, 0, 5
"C",  5, 1, 6, 14, 2, 5
"C",  6, 6, 1, 14, 0, 5
"C",  7, 2, 3, 10, 2, 5
"C",  8, 3, 2, 10, 0, 5
"C",  9, 2, 4, 15, 4, 5
"C", 10, 4, 2, 15, 0, 5
"C", 11, 3, 4, 11, 3, 5
"C", 12, 4, 3, 11, 0, 5
"C", 13, 3, 6,  2, 3, 5
"C", 14, 6, 3,  2, 0, 5
"C", 15, 4, 5,  6, 3, 5
"C", 16, 5, 4,  6, 0, 5
"C", 17, 5, 6,  9, 3, 5
"C", 18, 6, 5,  9, 0, 5
#
# End of Test graph W1, Connections
